"rule_id","benchmark","device_type","control_name","cis_level","description","expected_values","validation_logic","remediation_steps","severity","is_active","references","audit","rationale","impact"
"1.12","CIS Docker Community Edition Benchmark","Docker","Ensure auditing is configured for Docker files and directories - /usr/bin/docker-containerd","Level 1","Scoring: Scored

Audit /usr/bin/docker-containerd, if applicable.

Default Value:
By default, Docker related files and directories are not audited. The file /usr/bin/docker-
containerd may not be available on the system. In that case, this recommendation is not
applicable.","","","Add a rule for /usr/bin/docker-containerd file.
For example,
Add the line as below in /etc/audit/audit.rules file:
-w /usr/bin/docker-containerd -k docker
Then, restart the audit daemon. For example,
service auditd restart","","true","1. https://access.redhat.com/documentation/en-
US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html
2. https://github.com/docker/docker/pull/20662
3. https://containerd.tools/","Verify that there is an audit rule corresponding to /usr/bin/docker-containerd file.
For example, execute below command:
auditctl -l | grep /usr/bin/docker-containerd
This should list a rule for /usr/bin/docker-containerd file.","Apart from auditing your regular Linux file system and system calls, audit all Docker
related files and directories. Docker daemon runs with root privileges. Its behavior
depends on some key files and directories. /usr/bin/docker-containerd is one such file.
Docker now relies on containerdand runC to spawn containers. It must be audited, if
applicable.","Auditing generates quite big log files. Ensure to rotate and archive them periodically. Also,
create a separate partition of audit to avoid filling root file system."
"1.13","CIS Docker Community Edition Benchmark","Docker","Ensure auditing is configured for Docker files and directories - /usr/bin/docker-runc","Level 1","Scoring: Scored

Audit /usr/bin/docker-runc, if applicable.

Default Value:
By default, Docker related files and directories are not audited. The file/usr/bin/docker-
runc may not be available on the system. In that case, this recommendation is not
applicable.","","","Add a rule for /usr/bin/docker-runc file.
For example,
Add the line as below in /etc/audit/audit.rules file:
-w /usr/bin/docker-runc -k docker
Then, restart the audit daemon. For example,
service auditd restart","","true","1. https://access.redhat.com/documentation/en-
US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html
2. https://github.com/docker/docker/pull/20662
3. https://containerd.tools/
4. https://github.com/opencontainers/runc","Verify that there is an audit rule corresponding to /usr/bin/docker-runc file.
For example, execute below command:
auditctl -l | grep /usr/bin/docker-runc
This should list a rule for /usr/bin/docker-runc file.","Apart from auditing your regular Linux file system and system calls, audit all Docker
related files and directories. Docker daemon runs with root privileges. Its behavior
depends on some key files and directories. /usr/bin/docker-runc is one such file. Docker
now relies on containerd and runC to spawn containers. It must be audited, if applicable.","Auditing generates quite big log files. Ensure to rotate and archive them periodically. Also,
create a separate partition of audit to avoid filling root file system."
"2.1","CIS Docker Community Edition Benchmark","Docker","Ensure network traffic is restricted between containers on the default bridge","Level 1","Scoring: Scored

By default, all network traffic is allowed between containers on the same host on the
default network bridge. If not desired, restrict all the inter-container communication. Link
specific containers together that require communication. Alternatively, you can create
custom network and only join containers that need to communicate to that custom
network.

Default Value:
By default, all inter-container communication is allowed on the default network bridge.","","","Run the docker in daemon mode and pass --icc=false as an argument.
For Example,
dockerd --icc=false
Alternatively, you can follow the Docker documentation and create a custom network and
only join containers that need to communicate to that custom network. The --icc
parameter only applies to the default docker bridge, if custom networks are used then the
approach of segmenting networks should be adopted instead.","","true","1. https://docs.docker.com/engine/userguide/networking/
2. https://docs.docker.com/engine/userguide/networking/default_network/containe
r-communication/#communication-between-containers","Run the below command and verify that the default network bridge has been configured to
restrict inter-container communication.
docker network ls --quiet | xargs docker network inspect --format '{{ .Name
}}: {{ .Options }}'
It should return com.docker.network.bridge.enable_icc:false for the default network
bridge.","By default, unrestricted network traffic is enabled between all containers on the same host
on the default network bridge. Thus, each container has the potential of reading all packets
across the container network on the same host. This might lead to an unintended and
unwanted disclosure of information to other containers. Hence, restrict the inter-container
communication on the default network bridge.","The inter-container communication would be disabled on the default network bridge. If
any communication between containers on the same host is desired, then it needs to be
explicitly defined using container linking or alternatively custom networks have to be
defined."
"2.2","CIS Docker Community Edition Benchmark","Docker","Ensure the logging level is set to 'info'","Level 1","Scoring: Scored

Set Docker daemon log level to info.

Default Value:
By default, Docker daemon is set to log level of info.","","","Run the Docker daemon as below:
dockerd --log-level=""info""","","true","1. https://docs.docker.com/edge/engine/reference/commandline/dockerd/","ps -ef | grep docker
Ensure that either the --log-level parameter is not present or if present, then it is set to
info.","Setting up an appropriate log level, configures the Docker daemon to log events that you
would want to review later. A base log level of info and above would capture all logs
except debug logs. Until and unless required, you should not run Docker daemon at debug
log level.","None."
"2.3","CIS Docker Community Edition Benchmark","Docker","Ensure Docker is allowed to make changes to iptables","Level 1","Scoring: Scored

Iptables are used to set up, maintain, and inspect the tables of IP packet filter rules in the
Linux kernel. Allow the Docker daemon to make changes to the iptables.

Default Value:
By default, iptables is set to true.","","","Do not run the Docker daemon with --iptables=false parameter. For example, do not
start the Docker daemon as below:
dockerd --iptables=false","","true","1. https://docs.docker.com/engine/userguide/networking/default_network/containe
r-communication/
2. https://fralef.me/docker-and-iptables.html","ps -ef | grep dockerd
Ensure that the --iptables parameter is either not present or not set to false.","Docker will never make changes to your system iptables rules if you choose to do so.
Docker server would automatically make the needed changes to iptables based on how you
choose your networking options for the containers if it is allowed to do so. It is
recommended to let Docker server make changes to iptablesautomatically to avoid
networking misconfiguration that might hamper the communication between containers
and to the outside world. Additionally, it would save you hassles of updating
iptablesevery time you choose to run the containers or modify networking options.","Docker daemon service start requires iptables rules to be enabled before it starts. Any
restarts of iptables during docker daemon operation may result in losing docker-created
rules. Adding iptables-persistent to your iptables install can assist with mitigating this
impact."
"2.4","CIS Docker Community Edition Benchmark","Docker","Ensure insecure registries are not used","Level 1","Scoring: Scored

Docker considers a private registry either secure or insecure. By default, registries are
considered secure.

Default Value:
By default, Docker assumes all, but local, registries are secure.","","","Do not use any insecure registries.
For example, do not start the Docker daemon as below:
dockerd --insecure-registry 10.1.0.0/16","","true","1. https://docs.docker.com/registry/insecure/","Run docker info or execute the below command to find out if any insecure registries are
used:
ps -ef | grep dockerd
Ensure that the --insecure-registry parameter is not present.","A secure registry uses TLS. A copy of registry's CA certificate is placed on the Docker host at
/etc/docker/certs.d/<registry-name>/ directory. An insecure registry is the one not
having either valid registry certificate or is not using TLS. You should not be using any
insecure registries in the production environment. Insecure registries can be tampered
with leading to possible compromise to your production system.
Additionally, If a registry is marked as insecure then docker pull, docker push, and
docker search commands will not result in an error message and the user might be
indefinitely working with insecure registries without ever being notified of potential
danger.","None."
"2.5","CIS Docker Community Edition Benchmark","Docker","Ensure aufs storage driver is not used","Level 1","Scoring: Scored

Do not use aufs as storage driver for your Docker instance.

Default Value:
By default, Docker uses devicemapper as the storage driver on most of the platforms.
Default storage driver can vary based on your OS vendor. You should use the storage driver
that is best supported by your preferred vendor.","","","Do not explicitly use aufs as storage driver.
For example, do not start Docker daemon as below:
dockerd --storage-driver aufs","","true","1. https://docs.docker.com/engine/userguide/storagedriver/selectadriver/#support
ed-backing-filesystems
2. http://muehe.org/posts/switching-docker-from-aufs-to-devicemapper/
3. http://jpetazzo.github.io/assets/2015-03-05-deep-dive-into-docker-storage-
drivers.html#1
4. https://docs.docker.com/engine/userguide/storagedriver/","Execute the below command and verify that aufs is not used as storage driver:
docker info | grep -e ""^Storage Driver:\s*aufs\s*$""
The above command should not return anything.","The aufs storage driver is the oldest storage driver. It is based on a Linux kernel patch-set
that is unlikely to be merged into the main Linux kernel. aufs driver is also known to cause
some serious kernel crashes. aufs just has legacy support from Docker. Most importantly,
aufs is not a supported driver in many Linux distributions using latest Linux kernels.","aufs is the only storage driver that allows containers to share executable and shared
library memory. It might be useful if you are running thousands of containers with the
same program or libraries."
"2.6","CIS Docker Community Edition Benchmark","Docker","Ensure TLS authentication for Docker daemon is configured","Level 1","Scoring: Scored

It is possible to make the Docker daemon to listen on a specific IP and port and any other
Unix socket other than default Unix socket. Configure TLS authentication to restrict access
to Docker daemon via IP and port.

Default Value:
By default, TLS authentication is not configured.","","","Follow the steps mentioned in the Docker documentation or other references.","","true","1. https://docs.docker.com/engine/security/https/","ps -ef | grep dockerd
Ensure that the below parameters are present:
--tlsverify
--tlscacert
--tlscert
--tlskey","By default, Docker daemon binds to a non-networked Unix socket and runs with root
privileges. If you change the default docker daemon binding to a TCP port or any other Unix
socket, anyone with access to that port or socket can have full access to Docker daemon
and in turn to the host system. Hence, you should not bind the Docker daemon to another
IP/port or a Unix socket.
If you must expose the Docker daemon via a network socket, configure TLS authentication
for the daemon and Docker Swarm APIs (if using). This would restrict the connections to
your Docker daemon over the network to a limited number of clients who could
successfully authenticate over TLS.","You would need to manage and guard certificates and keys for Docker daemon and Docker
clients."
"2.7","CIS Docker Community Edition Benchmark","Docker","Ensure the default ulimit is configured appropriately","Level 1","Scoring: Not Scored

Set the default ulimit options as appropriate in your environment.

Default Value:
By default, no ulimit is set.","","","Run the docker in daemon mode and pass --default-ulimit as argument with respective
ulimits as appropriate in your environment.
For Example,
dockerd --default-ulimit nproc=1024:2048 --default-ulimit nofile=100:200","","true","1. https://docs.docker.com/edge/engine/reference/commandline/dockerd/#default-
ulimits","ps -ef | grep dockerd
Ensure that the --default-ulimit parameter is set as appropriate.","ulimit provides control over the resources available to the shell and to processes started
by it. Setting system resource limits judiciously saves you from many disasters such as a
fork bomb. Sometimes, even friendly users and legitimate processes can overuse system
resources and in-turn can make the system unusable.
Setting default ulimit for the Docker daemon would enforce the ulimit for all container
instances. You would not need to setup ulimit for each container instance. However, the
default ulimit can be overridden during container runtime, if needed. Hence, to control the
system resources, define a default ulimit as needed in your environment.","If the ulimits are not set properly, the desired resource control might not be achieved and
might even make the system unusable."
"2.8","CIS Docker Community Edition Benchmark","Docker","Enable user namespace support","Level 2","Scoring: Scored

Enable user namespace support in Docker daemon to utilize container user to host user re-
mapping. This recommendation is beneficial where containers you are using do not have an
explicit container user defined in the container image. If container images that you are
using have a pre-defined non-root user, this recommendation may be skipped since this
feature is still in its infancy and might give you unpredictable issues and complexities.

Default Value:
By default, user namespace is not remapped.","","","Please consult Docker documentation for various ways in which this can be configured
depending upon your requirements. Your steps might also vary based on platform - For
example, on Red Hat, sub-UIDs and sub-GIDs mapping creation does not work
automatically. You might have to create your own mapping.
However, the high-level steps are as below:
Step 1: Ensure that the files /etc/subuid and /etc/subgid exist.
touch /etc/subuid /etc/subgid
Step 2: Start the docker daemon with --userns-remap flag
dockerd --userns-remap=default","","true","1. http://man7.org/linux/man-pages/man7/user_namespaces.7.html
2. https://docs.docker.com/engine/reference/commandline/dockerd/#daemon-user-
namespace-options
3. http://events.linuxfoundation.org/sites/events/files/slides/User%20Namespaces
%20-%20ContainerCon%202015%20-%2016-9-final_0.pdf","ps -p $(docker inspect --format='{{ .State.Pid }}' <CONTAINER ID>) -o
pid,user
The above command would find the PID of the container and then would list the host user
associated with the container process. If the container process is running as root, then this
recommendation is non-compliant.
Alternatively, you can run docker info to ensure that the userns is listed under Security
Options:
docker info --format '{{ .SecurityOptions }}'","The Linux kernel user namespace support in Docker daemon provides additional security
for the Docker host system. It allows a container to have a unique range of user and group
IDs which are outside the traditional user and group range utilized by the host system.
For example, the root user will have expected administrative privilege inside the container
but can effectively be mapped to an unprivileged UID on the host system.","User namespace remapping makes quite a few Docker features incompatible and also
currently breaks a few functionalities. Check out the Docker documentation and referenced
links for details."
"2.9","CIS Docker Community Edition Benchmark","Docker","Ensure the default cgroup usage has been confirmed","Level 2","Scoring: Scored

The --cgroup-parent option allows you to set the default cgroup parent to use for all the
containers. If there is no specific use case, this setting should be left at its default.

Default Value:
By default, docker daemon uses /docker for fs cgroup driver and system.slice for
systemd cgroup driver.","","","The default setting is good enough and can be left as-is. If you want to specifically set a non-
default cgroup, pass --cgroup-parent parameter to the docker daemon when starting it.
For Example,
dockerd --cgroup-parent=/foobar","","true","1. https://docs.docker.com/engine/reference/commandline/dockerd/#default-
cgroup-parent","ps -ef | grep dockerd
Ensure that the --cgroup-parent parameter is either not set or is set as appropriate non-
default cgroup.","System administrators typically define cgroups under which containers are supposed to
run. Even if cgroups are not explicitly defined by the system administrators, containers run
under docker cgroup by default.
It is possible to attach to a different cgroup other than that is the default. This usage should
be monitored and confirmed. By attaching to a different cgroup than the one that is a
default, it is possible to share resources unevenly and thus might starve the host for
resources.","None."
"2.10","CIS Docker Community Edition Benchmark","Docker","Ensure base device size is not changed until needed","Level 2","Scoring: Scored

In certain circumstances, you might need containers bigger than 10G in size. In these cases,
carefully choose the base device size.

Default Value:
The default base device size is 10G.","","","Do not set --storage-opt dm.basesize until needed.","","true","1. https://docs.docker.com/engine/reference/commandline/dockerd/#storage-
driver-options","ps -ef | grep dockerd
Execute the above command and it should not show any --storage-opt dm.basesize
parameters.","The base device size can be increased at daemon restart. Increasing the base device size
allows all future images and containers to be of the new base device size. A user can use
this option to expand the base device size however shrinking is not permitted. This value
affects the system-wide “base” empty filesystem that may already be initialized and
inherited by pulled images.
Though the file system does not allot the increased size if it is empty, it will use more space
for the empty case depending upon the device size. This may cause a denial of service by
ending up in file system being over-allocated or full.","None."
"2.11","CIS Docker Community Edition Benchmark","Docker","Ensure that authorization for Docker client commands is enabled","Level 2","Scoring: Scored

Use native Docker authorization plugins or a third party authorization mechanism with
Docker daemon to manage access to Docker client commands.

Default Value:
By default, authorization plugins are not set up.","","","Step 1: Install/Create an authorization plugin.
Step 2: Configure the authorization policy as desired.
Step 3: Start the docker daemon as below:
dockerd --authorization-plugin=<PLUGIN_ID>","","true","1. https://docs.docker.com/engine/reference/commandline/dockerd/#access-
authorization
2. https://docs.docker.com/engine/extend/plugins_authorization/
3. https://github.com/twistlock/authz
Notes:
As a scored control, focus should be on a PASS/FAIL if the authentication occurs when a
docker client command is executed against docker daemon to enforce authentication. The
native docker authentication plugin is just one method to enforce this control.","ps -ef | grep dockerd
Ensure that the --authorization-plugin parameter is set as appropriate if using docker
native authorization.
docker search hello-world
Ensure that docker daemon requires authorization to perform the above command.","Docker’s out-of-the-box authorization model is all or nothing. Any user with permission to
access the Docker daemon can run any Docker client command. The same is true for callers
using Docker’s remote API to contact the daemon. If you require greater access control, you
can create authorization plugins and add them to your Docker daemon configuration. Using
an authorization plugin, a Docker administrator can configure granular access policies for
managing access to Docker daemon.
Third party integrations of Docker may implement their own authorization models to
require authorization with the Docker daemon outside of docker's native authorization
plugin (i.e. Kubernetes, Cloud Foundry, Openshift).","Each docker command specifically passes through authorization plugin mechanism. This
might introduce a slight performance drop.
Third party use of alternative container engines that utilize the docker daemon may
provide alternative mechanisms to provide this security control."
"2.12","CIS Docker Community Edition Benchmark","Docker","Ensure centralized and remote logging is configured","Level 2","Scoring: Scored

Docker now supports various log drivers. A preferable way to store logs is the one that
supports centralized and remote logging.

Default Value:
By default, container logs are maintained as json files","","","Step 1: Setup the desired log driver by following its documentation.
Step 2: Start the docker daemon with that logging driver.
For example,
dockerd --log-driver=syslog --log-opt syslog-address=tcp://192.xxx.xxx.xxx","","true","1. https://docs.docker.com/engine/admin/logging/overview/","Run docker info and ensure that the Logging Driverproperty set as appropriate.
docker info --format '{{ .LoggingDriver }}'
Alternatively, the below command would give you the --log-driver setting, if configured.
Ensure that it is set as appropriate.
ps -ef | grep dockerd","Centralized and remote logging ensures that all important log records are safe despite
catastrophic events. Docker now supports various such logging drivers. Use the one that
suits your environment the best.","None."
"2.13","CIS Docker Community Edition Benchmark","Docker","Ensure operations on legacy registry (v1) are Disabled","Level 1","Scoring: Scored

The latest Docker registry is v2. All operations on the legacy registry version (v1) should be
restricted.

Default Value:
By default, legacy registry operations are allowed.","","","Start the docker daemon as below:
dockerd --disable-legacy-registry","","true","1. https://docs.docker.com/edge/engine/reference/commandline/dockerd/#legacy-
registries
2. https://docs.docker.com/registry/spec/api/
3. https://the.binbashtheory.com/creating-private-docker-registry-2-0-with-token-
authentication-service/
4. https://blog.docker.com/2015/07/new-tool-v1-registry-docker-trusted-registry-
v2-open-source/
5. http://www.slideshare.net/Docker/docker-registry-v2","ps -ef | grep dockerd
The above command should list --disable-legacy-registry as an option passed to the
docker daemon.","Docker registry v2 brings in many performance and security improvements over v1. It
supports container image provenance and other security features such as image signing
and verification. Hence, operations on Docker legacy registry should be restricted.","Legacy registry operations would be restricted."
"2.14","CIS Docker Community Edition Benchmark","Docker","Ensure live restore is Enabled","Level 1","Scoring: Scored

The --live-restore enables full support of daemon-less containers in docker. It ensures
that docker does not stop containers on shutdown or restore and properly reconnects to
the container when restarted.

Default Value:
By default, --live-restore is not enabled.","","","Run the docker in daemon mode and pass --live-restore as an argument.
For Example,
dockerd --live-restore","","true","1. https://docs.docker.com/engine/admin/live-restore/","Run docker info and ensure that the Live Restore Enabled property is set to true.
docker info --format '{{ .LiveRestoreEnabled }}'
Alternatively run the below command and ensure that --live-restore is used.
ps -ef | grep dockerd","One of the important security triads is availability. Setting --live-restore flag in the
docker daemon ensures that container execution is not interrupted when the docker
daemon is not available. This also means that it is now easier to update and patch the
docker daemon without execution downtime.","None."
"2.15","CIS Docker Community Edition Benchmark","Docker","Ensure Userland Proxy is Disabled","Level 1","Scoring: Scored

The docker daemon starts a userland proxy service for port forwarding whenever a port is
exposed. Where hairpin NAT is available, this service is generally superfluous to
requirements and can be disabled.

Default Value:
By default, the userland proxy is enabled.","","","Run the Docker daemon as below:
dockerd --userland-proxy=false","","true","1. http://windsock.io/the-docker-proxy/
2. https://github.com/docker/docker/issues/14856
3. https://github.com/docker/docker/issues/22741
4. https://docs.docker.com/engine/userguide/networking/default_network/binding/","ps -ef | grep dockerd
Ensure that the --userland-proxy parameter is set to false.","Docker engine provides two mechanisms for forwarding ports from the host to containers,
hairpin NAT, and a userland proxy. In most circumstances, the hairpin NAT mode is
preferred as it improves performance and makes use of native Linux iptables functionality
instead of an additional component.
Where hairpin NAT is available, the userland proxy should be disabled on startup to reduce
the attack surface of the installation.","Some systems with older Linux kernels may not be able to support hairpin NAT and
therefore require the userland proxy service. Also, some networking setups can be
impacted by the removal of the userland proxy."
"2.16","CIS Docker Community Edition Benchmark","Docker","Ensure daemon-wide custom seccomp profile is applied, if needed","Level 2","Scoring: Not Scored

You can choose to apply your custom seccomp profile at the daemon-wide level if needed
and override Docker's default seccomp profile.

Default Value:
By default, Docker applies a seccomp profile.","","","By default, Docker's default seccomp profile is applied. If this is good for your environment,
no action is necessary. Alternatively, if you choose to apply your own seccomp profile, use
the --seccomp-profile flag at daemon start or put it in the daemon runtime parameters
file.
dockerd --seccomp-profile </path/to/seccomp/profile>","","true","1. https://docs.docker.com/engine/security/seccomp/
2. https://github.com/docker/docker/pull/26276","Run the below command and review the seccomp profile listed in the Security Options
section. If it is default, that means, Docker's default seccomp profile is applied.
docker info --format '{{ .SecurityOptions }}'","A large number of system calls are exposed to every userland process with many of them
going unused for the entire lifetime of the process. Most of the applications do not need all
the system calls and thus benefit by having a reduced set of available system calls. The
reduced set of system calls reduces the total kernel surface exposed to the application and
thus improvises application security.
You could apply your own custom seccomp profile instead of Docker's default seccomp
profile. Alternatively, if Docker's default profile is good for your environment, you can
choose to ignore this recommendation.","A misconfigured seccomp profile could possibly interrupt your container environment.
Docker-default blocked calls have been carefully scrutinized. These address some critical
vulnerabilities/issues within container environments (for example, kernel key ring calls).
So, you should be very careful while overriding the defaults."
"2.17","CIS Docker Community Edition Benchmark","Docker","Ensure experimental features are avoided in production","Level 1","Scoring: Scored

Avoid experimental features in production.

Default Value:
By default, experimental features are not activated on the docker daemon.","","","Do not pass --experimental as a runtime parameter to the docker daemon.","","true","1. https://docs.docker.com/edge/engine/reference/commandline/dockerd/#options","Run the below command and ensure that the Experimental property is set to false in the
Server section.
docker version --format '{{ .Server.Experimental }}'","Experimental is now a runtime docker daemon flag instead of a separate build. Passing --
experimental as a runtime flag to the docker daemon, activates experimental features.
Experimental is now considered a stable release, but with a couple of features which might
not have tested and guaranteed API stability.","None"
"2.18","CIS Docker Community Edition Benchmark","Docker","Ensure containers are restricted from acquiring new privileges","Level 1","Scoring: Scored

Restrict containers from acquiring additional privileges via suid or sgid bits, by default.

Default Value:
By default, containers are not restricted from acquiring new privileges.","","","Run the Docker daemon as below:
dockerd --no-new-privileges","","true","1. https://github.com/moby/moby/pull/29984
2. https://github.com/moby/moby/pull/20727","ps -ef | grep dockerd
Ensure that the --no-new-privileges parameter is present and is not set to false.","A process can set the no_new_priv bit in the kernel. It persists across fork, clone and
execve. The no_new_priv bit ensures that the process or its children processes do not gain
any additional privileges via suid or sgid bits. This way a lot of dangerous operations
become a lot less dangerous because there is no possibility of subverting privileged
binaries.
Setting this at the daemon level ensures that by default all new containers are restricted
from acquiring new privileges.","no_new_priv prevents LSMs like SELinux from transitioning to process labels that have
access not allowed to the current process."
"3.1","CIS Docker Community Edition Benchmark","Docker","Ensure that docker.service file ownership is set to root:root","Level 1","Scoring: Scored

Verify that the docker.service file ownership and group-ownership are correctly set to
root.

Default Value:
This file may not be present on the system. In that case, this recommendation is not
applicable. By default, if the file is present, the ownership and group-ownership for this file
is correctly set to root.","","","Step 1: Find out the file location:
systemctl show -p FragmentPath docker.service
Step 2: If the file does not exist, this recommendation is not applicable. If the file exists,
execute the below command with the correct file path to set the ownership and group
ownership for the file to root.
For example,
chown root:root /usr/lib/systemd/system/docker.service","","true","1. https://docs.docker.com/engine/admin/systemd/","Step 1: Find out the file location:
systemctl show -p FragmentPath docker.service
Step 2: If the file does not exist, this recommendation is not applicable. If the file exists,
execute the below command with the correct file path to verify that the file is owned and
group-owned by root.
For example,
stat -c %U:%G /usr/lib/systemd/system/docker.service | grep -v root:root
The above command should not return anything.","docker.service file contains sensitive parameters that may alter the behavior of Docker
daemon. Hence, it should be owned and group-owned by root to maintain the integrity of
the file.","None."
"3.2","CIS Docker Community Edition Benchmark","Docker","Ensure that docker.service file permissions are set to 644 or more restrictive","Level 1","Scoring: Scored

Verify that the docker.service file permissions are correctly set to 644 or more restrictive.

Default Value:
This file may not be present on the system. In that case, this recommendation is not
applicable. By default, if the file is present, the file permissions are correctly set to 644.","","","Step 1: Find out the file location:
systemctl show -p FragmentPath docker.service
Step 2: If the file does not exist, this recommendation is not applicable. If the file exists,
execute the below command with the correct file path to set the file permissions to 644.
For example,
chmod 644 /usr/lib/systemd/system/docker.service","","true","1. https://docs.docker.com/articles/systemd/","Step 1: Find out the file location:
systemctl show -p FragmentPath docker.service
Step 2: If the file does not exist, this recommendation is not applicable. If the file exists,
execute the below command with the correct file path to verify that the file permissions are
set to 644 or more restrictive.
For example,
stat -c %a /usr/lib/systemd/system/docker.service","docker.service file contains sensitive parameters that may alter the behavior of Docker
daemon. Hence, it should not be writable by any other user other than root to maintain the
integrity of the file.","None."
"3.3","CIS Docker Community Edition Benchmark","Docker","Ensure that docker.socket file ownership is set to root:root","Level 1","Scoring: Scored

Verify that the docker.socket file ownership and group ownership is correctly set to root.

Default Value:
This file may not be present on the system. In that case, this recommendation is not
applicable. By default, if the file is present, the ownership and group-ownership for this file
is correctly set to root.","","","Step 1: Find out the file location:
systemctl show -p FragmentPath docker.socket
Step 2: If the file does not exist, this recommendation is not applicable. If the file exists,
execute the below command with the correct file path to set the ownership and group
ownership for the file to root.
For example,
chown root:root /usr/lib/systemd/system/docker.socket","","true","1. https://docs.docker.com/engine/reference/commandline/dockerd/#daemon-
socket-option
2. https://github.com/docker/docker-
ce/blob/master/components/packaging/deb/systemd/docker.socket","Step 1: Find out the file location:
systemctl show -p FragmentPath docker.socket
Step 2: If the file does not exist, this recommendation is not applicable. If the file exists,
execute the below command with the correct file path to verify that the file is owned and
group-owned by root.
For example,
stat -c %U:%G /usr/lib/systemd/system/docker.socket | grep -v root:root
The above command should not return anything.","docker.socket file contains sensitive parameters that may alter the behavior of Docker
remote API. Hence, it should be owned and group-owned by root to maintain the integrity
of the file.","None."
"3.4","CIS Docker Community Edition Benchmark","Docker","Ensure that docker.socket file permissions are set to 644 or more restrictive","Level 1","Scoring: Scored

Verify that the docker.socket file permissions are correctly set to 644 or more restrictive.

Default Value:
This file may not be present on the system. In that case, this recommendation is not
applicable. By default, if the file is present, the file permissions for this file are correctly set
to 644.","","","Step 1: Find out the file location:
systemctl show -p FragmentPath docker.socket
Step 2: If the file does not exist, this recommendation is not applicable. If the file exists,
execute the below command with the correct file path to set the file permissions to 644.
For example,
chmod 644 /usr/lib/systemd/system/docker.socket","","true","1. https://docs.docker.com/engine/reference/commandline/dockerd/#bind-docker-
to-another-hostport-or-a-unix-socket
2. https://github.com/YungSang/fedora-atomic-
packer/blob/master/oem/docker.socket
3. http://daviddaeschler.com/2014/12/14/centos-7rhel-7-and-docker-containers-
on-boot/","Step 1: Find out the file location:
systemctl show -p FragmentPath docker.socket
Step 2: If the file does not exist, this recommendation is not applicable. If the file exists,
execute the below command with the correct file path to verify that the file permissions are
set to 644 or more restrictive.
For example,
stat -c %a /usr/lib/systemd/system/docker.socket","docker.socket file contains sensitive parameters that may alter the behavior of Docker
remote API. Hence, it should be writable only by root to maintain the integrity of the file.","None."
"3.5","CIS Docker Community Edition Benchmark","Docker","Ensure that /etc/docker directory ownership is set to root:root","Level 1","Scoring: Scored

Verify that the /etc/docker directory ownership and group-ownership is correctly set to
root.

Default Value:
By default, the ownership and group-ownership for this directory is correctly set to root.","","","chown root:root /etc/docker
This would set the ownership and group-ownership for the directory to root.","","true","1. https://docs.docker.com/engine/security/https/","Execute the below command to verify that the directory is owned and group-owned by
root:
stat -c %U:%G /etc/docker | grep -v root:root
The above command should not return anything.","/etc/docker directory contains certificates and keys in addition to various sensitive files.
Hence, it should be owned and group-owned by root to maintain the integrity of the
directory.","None."
"3.6","CIS Docker Community Edition Benchmark","Docker","Ensure that /etc/docker directory permissions are set to 755 or more restrictive","Level 1","Scoring: Scored

Verify that the /etc/docker directory permissions are correctly set to 755 or more
restrictive.

Default Value:
By default, the permissions for this directory are correctly set to 755.","","","chmod 755 /etc/docker
This would set the permissions for the directory to 755.","","true","1. https://docs.docker.com/engine/security/https/","Execute the below command to verify that the directory has permissions of 755 or more
restrictive:
stat -c %a /etc/docker","/etc/docker directory contains certificates and keys in addition to various sensitive files.
Hence, it should only be writable by root to maintain the integrity of the directory.","None."
"3.7","CIS Docker Community Edition Benchmark","Docker","Ensure that registry certificate file ownership is set to root:root","Level 1","Scoring: Scored

Verify that all the registry certificate files (usually found under
/etc/docker/certs.d/<registry-name> directory) are owned and group-owned by root.

Default Value:
By default, the ownership and group-ownership for registry certificate files is correctly set
to root.","","","chown root:root /etc/docker/certs.d/<registry-name>/*
This would set the ownership and group-ownership for the registry certificate files to root.","","true","1. https://docs.docker.com/registry/insecure/","Execute the below command to verify that the registry certificate files are owned and
group-owned by root:
stat -c %U:%G /etc/docker/certs.d/* | grep -v root:root
The above command should not return anything.","/etc/docker/certs.d/<registry-name> directory contains Docker registry certificates.
These certificate files must be owned and group-owned by root to maintain the integrity of
the certificates.","None."
"3.8","CIS Docker Community Edition Benchmark","Docker","Ensure that registry certificate file permissions are set to 444 or more restrictive","Level 1","Scoring: Scored

Verify that all the registry certificate files (usually found under
/etc/docker/certs.d/<registry-name> directory) have permissions of 444 or more
restrictive.

Default Value:
By default, the permissions for registry certificate files might not be 444. The default file
permissions are governed by the system or user specific umaskvalues.","","","chmod 444 /etc/docker/certs.d/<registry-name>/*
This would set the permissions for registry certificate files to 444.","","true","1. https://docs.docker.com/registry/insecure/","Execute the below command to verify that the registry certificate files have permissions of
444 or more restrictive:
stat -c %a /etc/docker/certs.d/<registry-name>/*","/etc/docker/certs.d/<registry-name> directory contains Docker registry certificates.
These certificate files must have permissions of 444 to maintain the integrity of the
certificates.","None."
